Gene.ID	Gene.Name	HGNC	EntrezGene	RefSeq	transcript_id
ENSG00000131941.7	RHPN2	RHPN2	85415	NM_033103.4	ENST00000254260.7
ENSG00000131943.17	C19orf12	C19orf12	83636	NM_001256046.1;NM_001282930.1;NM_001031726.3;NA;NM_001256047.1;NM_001282929.1	ENST00000323670.13;ENST00000392276.1;ENST00000392278.2;ENST00000591243.1;ENST00000592153.5;ENST00000614091.4;ENST00000623113.1
ENSG00000131944.9	FAAP24	FAAP24	91442	NM_152266.4;NA;NM_001300978.1	ENST00000588258.5;ENST00000589646.5;ENST00000590179.1;ENST00000590281.1
ENSG00000131951.10	LRRC9	LRRC9	NA	NA	ENST00000445360.5;ENST00000570145.1
ENSG00000131966.13	ACTR10	ACTR10	55860	NM_018477.2;NA	ENST00000254286.8;ENST00000554642.1
ENSG00000131969.14	ABHD12B	ABHD12B	145447	NM_001206673.1;NM_181533.3	ENST00000337334.6;ENST00000353130.5
ENSG00000131979.18	GCH1	GCH1	2643	NM_001024024.1;NA;NM_001024071.1;NM_001024070.1;NM_000161.2	ENST00000395514.5;ENST00000491895.6;ENST00000536224.2;ENST00000543643.6;ENST00000622544.4
ENSG00000131981.15	LGALS3	LGALS3	3958	NM_001177388.1;NA	ENST00000254301.13;ENST00000553493.5;ENST00000554715.1
ENSG00000132000.11	PODNL1	PODNL1	79883	NA;NM_024825.3;NM_001146254.1;NM_001146255.1	ENST00000254320.7;ENST00000339560.9;ENST00000538371.6;ENST00000538517.6;ENST00000585607.1;ENST00000586075.1;ENST00000587458.1;ENST00000587954.1;ENST00000588764.5;ENST00000588872.1;ENST00000591353.5
ENSG00000132002.7	DNAJB1	DNAJB1	3337	NM_006145.2;NM_001313964.1;NA;NM_001300914.1	ENST00000254322.2;ENST00000396969.8;ENST00000594099.5;ENST00000595139.1;ENST00000595992.5;ENST00000596075.1;ENST00000596853.5;ENST00000598235.1;ENST00000598692.1;ENST00000601533.5
ENSG00000132003.9	ZSWIM4	ZSWIM4	65249	NM_023072.2;NA	ENST00000254323.6;ENST00000590508.5;ENST00000592227.1
ENSG00000132004.12	FBXW9	FBXW9	84261	NM_032301.2;NA	ENST00000393261.7;ENST00000587955.1
ENSG00000132005.8	RFX1	RFX1	5989	NM_002918.4;NA	ENST00000254325.8;ENST00000588885.1
ENSG00000132010.15	ZNF20	ZNF20	7568	NM_001203250.1;NA	ENST00000334213.9;ENST00000418866.1;ENST00000600335.5
ENSG00000132016.11	C19orf57	C19orf57	79173	NM_024323.3;NA;NM_001345848.1	ENST00000346736.6;ENST00000585755.1;ENST00000586783.5;ENST00000588115.5;ENST00000589393.1;ENST00000591439.5;ENST00000591586.5
ENSG00000132017.10	DCAF15	DCAF15	90379	NM_138353.2;NA	ENST00000254337.10;ENST00000585468.1;ENST00000587307.1
ENSG00000132024.17	CC2D1A	CC2D1A	54862	NM_017721.4;NA	ENST00000318003.11;ENST00000587508.1;ENST00000589606.5
ENSG00000132026.13	RTBDN	RTBDN	83546	NM_031429.2;NM_001270443.1;NM_001080997.2;NA;NM_001270440.1;NM_001270441.1	ENST00000322912.9;ENST00000393233.6;ENST00000458671.6;ENST00000585384.5;ENST00000586969.5;ENST00000587549.1;ENST00000589272.5;ENST00000589567.2;ENST00000589681.5;ENST00000589808.5;ENST00000590404.5;ENST00000591512.2;ENST00000592204.5
ENSG00000132031.12	MATN3	MATN3	4148	NM_002381.4;NA	ENST00000407540.7;ENST00000421259.2
ENSG00000132109.9	TRIM21	TRIM21	6737	NM_003141.3;NA	ENST00000254436.7;ENST00000533692.1
ENSG00000132122.11	SPATA6	SPATA6	54558	NA;NM_001286238.1;NM_001286239.1	ENST00000371841.1;ENST00000371843.7;ENST00000371847.7;ENST00000396199.7
ENSG00000132128.16	LRRC41	LRRC41	10489	NM_006369.4;NA	ENST00000343304.10;ENST00000496156.5;ENST00000615587.4;ENST00000617190.4;ENST00000617760.4
ENSG00000132141.13	CCT6B	CCT6B	10693	NM_006584.3;NM_001193529.2;NM_001193530.1;NA	ENST00000314144.9;ENST00000421975.7;ENST00000436961.7;ENST00000585073.1
ENSG00000132153.14	DHX30	DHX30	22907	NM_001330990.1;NM_014966.3;NA	ENST00000348968.8;ENST00000445061.5;ENST00000446256.6;ENST00000457607.1;ENST00000619982.4
ENSG00000132155.11	RAF1	RAF1	5894	NM_002880.3;NA	ENST00000251849.8;ENST00000432427.2;ENST00000442415.6
ENSG00000132164.9	SLC6A11	SLC6A11	6538	NM_014229.2;NM_001317406.1	ENST00000254488.6;ENST00000454147.1
ENSG00000132170.19	PPARG	PPARG	5468	NM_015869.4;NM_138712.3;NA;NM_138711.3;NM_005037.5	ENST00000287820.10;ENST00000309576.10;ENST00000397000.5;ENST00000397010.6;ENST00000397012.6;ENST00000397015.6;ENST00000397026.6;ENST00000397029.7;ENST00000438682.5;ENST00000455517.5
ENSG00000132182.11	NUP210	NUP210	23225	NM_024923.3	ENST00000254508.6
ENSG00000132185.16	FCRLA	FCRLA	84824	NM_032738.3;NA;NM_001184871.1;NM_001184873.1;NM_001184872.1;NM_001184866.1;NM_001184870.1;NM_001184867.1	ENST00000236938.10;ENST00000294796.8;ENST00000309691.10;ENST00000349527.8;ENST00000350710.3;ENST00000367949.6;ENST00000367950.1;ENST00000367953.7;ENST00000367957.6;ENST00000367959.6;ENST00000540521.5;ENST00000546024.5
ENSG00000132196.13	HSD17B7	HSD17B7	51478	NM_016371.3;NM_001304512.1;NA	ENST00000254521.7;ENST00000367913.1;ENST00000367915.1
ENSG00000132199.18	ENOSF1	ENOSF1	55556	NM_017512.5;NM_202758.3;NM_001126123.3;NM_001318760.1;NA	ENST00000251101.11;ENST00000340116.11;ENST00000383578.7;ENST00000580982.5;ENST00000583771.1
ENSG00000132205.10	EMILIN2	EMILIN2	84034	NM_032048.2	ENST00000254528.3
ENSG00000132207.17	SLX1A	SLX1A	548593	NM_001014999.2;NM_001015000.2	ENST00000251303.10;ENST00000345535.8
ENSG00000132254.12	ARFIP2	ARFIP2	23647	NM_012402.3;NA;NM_001242855.1;NM_001242856.1;NM_001242854.1	ENST00000254584.6;ENST00000396777.7;ENST00000423813.6;ENST00000445086.6;ENST00000525235.1;ENST00000614314.4
ENSG00000132256.18	TRIM5	TRIM5	85363	NM_033093.2;NM_033034.2;NA	ENST00000380027.5;ENST00000380034.7;ENST00000396847.7;ENST00000412903.1;ENST00000419850.1;ENST00000438025.5
ENSG00000132259.12	CNGA4	CNGA4	1262	NM_001037329.3;NA	ENST00000379936.2;ENST00000533426.5
ENSG00000132274.15	TRIM22	TRIM22	10346	NM_001199573.1;NA	ENST00000379965.7;ENST00000414641.5;ENST00000425490.5;ENST00000429063.5;ENST00000444844.1;ENST00000450670.5;ENST00000454828.5
ENSG00000132275.10	RRP8	RRP8	23378	NM_015324.3;NA	ENST00000254605.10;ENST00000534343.1
ENSG00000132286.11	TIMM10B	TIMM10B	26515	NM_012192.3;NA	ENST00000254616.10;ENST00000530751.1
ENSG00000132294.14	EFR3A	EFR3A	23167	NM_001323553.1;NA	ENST00000254624.9;ENST00000519656.1;ENST00000520362.5;ENST00000522709.5;ENST00000637848.1
ENSG00000132297.11	HHLA1	HHLA1	10086	NM_001145095.1;NA	ENST00000414222.1;ENST00000434736.6
ENSG00000132300.18	PTCD3	PTCD3	55037	NM_017952.5;NA	ENST00000254630.11;ENST00000409783.6;ENST00000627371.1
ENSG00000132305.20	IMMT	IMMT	10989	NA;NM_001100169.1	ENST00000254636.9;ENST00000409051.6;ENST00000410111.7;ENST00000419070.6;ENST00000442664.6;ENST00000449247.6;ENST00000620815.4
ENSG00000132313.14	MRPL35	MRPL35	51318	NM_145644.2;NM_016622.3;NA	ENST00000254644.12;ENST00000337109.8;ENST00000409180.1;ENST00000605125.5
ENSG00000132321.16	IQCA1	IQCA1	79781	NM_001270584.1;NM_024726.4;NA;NM_001270585.1	ENST00000309507.9;ENST00000409907.7;ENST00000418802.2;ENST00000431676.6
ENSG00000132323.8	ILKAP	ILKAP	80895	NM_030768.2;NA	ENST00000254654.7;ENST00000450411.1;ENST00000457149.1;ENST00000612675.4;ENST00000622223.4
ENSG00000132326.11	PER2	PER2	8864	NM_022817.2;NA	ENST00000254657.7;ENST00000431832.1
ENSG00000132329.10	RAMP1	RAMP1	10267	NM_005855.3;NA;NM_001308353.1	ENST00000254661.4;ENST00000403885.1;ENST00000404910.6;ENST00000409726.5
ENSG00000132330.16	SCLY	SCLY	51540	NM_016510.5;NA	ENST00000254663.10;ENST00000409736.6;ENST00000412508.5;ENST00000413463.5;ENST00000416757.1;ENST00000431487.5;ENST00000433750.1;ENST00000437134.5;ENST00000440143.1;ENST00000450965.5
ENSG00000132334.16	PTPRE	PTPRE	5791	NM_001316676.1;NM_001323357.1;NA	ENST00000254667.7;ENST00000306042.9;ENST00000442830.5;ENST00000455661.5;ENST00000467366.1;ENST00000471218.5
ENSG00000132341.11	RAN	RAN	5901	NA;NM_001300796.1;NM_006325.4	ENST00000392367.4;ENST00000392369.6;ENST00000448750.7;ENST00000535090.5;ENST00000541630.5;ENST00000541679.7;ENST00000543796.5
ENSG00000132356.11	PRKAA1	PRKAA1	5562	NA;NM_206907.3;NM_006251.5	ENST00000296800.4;ENST00000354209.7;ENST00000397128.6
ENSG00000132357.13	CARD6	CARD6	84674	NM_032587.3;NA	ENST00000254691.9;ENST00000381677.4
ENSG00000132359.14	RAP1GAP2	RAP1GAP2	23108	NM_015085.4;NM_001100398.1;NM_001330058.1;NA	ENST00000254695.12;ENST00000366401.8;ENST00000540393.6;ENST00000542807.1;ENST00000637138.1
ENSG00000132361.16	CLUH	CLUH	23277	NM_015229.3;NA	ENST00000435359.5;ENST00000570628.6;ENST00000571566.1;ENST00000572129.1;ENST00000574426.6;ENST00000575014.5;ENST00000576309.5;ENST00000576885.5
ENSG00000132376.19	INPP5K	INPP5K	51763	NM_130766.2;NM_001135642.1;NM_016532.3;NA	ENST00000320345.10;ENST00000406424.8;ENST00000421807.6;ENST00000449479.5;ENST00000477910.5;ENST00000498390.5;ENST00000571274.5;ENST00000574561.1;ENST00000575172.5
ENSG00000132382.14	MYBBP1A	MYBBP1A	10514	NM_014520.3;NM_001105538.1;NA	ENST00000254718.8;ENST00000381556.6;ENST00000572759.1;ENST00000573116.5;ENST00000573723.1
ENSG00000132383.11	RPA1	RPA1	6117	NM_002945.3;NA	ENST00000254719.9;ENST00000570451.5;ENST00000571058.5;ENST00000574049.1
ENSG00000132386.10	SERPINF1	SERPINF1	5176	NM_002615.5;NA	ENST00000254722.8;ENST00000570731.5;ENST00000571149.5;ENST00000571360.5;ENST00000572048.1;ENST00000573763.1;ENST00000576406.5;ENST00000577053.1
ENSG00000132388.12	UBE2G1	UBE2G1	7326	NM_003342.4;NA	ENST00000396981.6;ENST00000571953.5;ENST00000572484.5;ENST00000574059.1
ENSG00000132394.10	EEFSEC	EEFSEC	60678	NM_021937.4;NA	ENST00000254730.10;ENST00000483457.1
ENSG00000132405.18	TBC1D14	TBC1D14	57533	NM_020773.2;NM_001330638.1;NA;NM_001286805.1;NM_001113361.1;NM_001113363.1	ENST00000409757.8;ENST00000410031.5;ENST00000427736.1;ENST00000439515.2;ENST00000444368.1;ENST00000446947.6;ENST00000448507.5;ENST00000451522.6
ENSG00000132406.11	TMEM128	TMEM128	85013	NM_032927.3;NM_001297551.1	ENST00000254742.6;ENST00000382753.4
ENSG00000132423.11	COQ3	COQ3	51805	NM_017421.3;NA	ENST00000254759.7;ENST00000369240.5
ENSG00000132424.14	PNISR	PNISR	25957	NM_001322405.1;NM_001322408.1	ENST00000369239.9;ENST00000438806.5
ENSG00000132429.9	POPDC3	POPDC3	64208	NM_022361.4;NA	ENST00000254765.3;ENST00000429112.1
ENSG00000132432.13	SEC61G	SEC61G	23480	NM_014302.3;NM_001012456.1;NA	ENST00000352861.8;ENST00000395535.7;ENST00000415949.5;ENST00000450622.1
ENSG00000132434.9	LANCL2	LANCL2	55915	NM_018697.3	ENST00000254770.2
